datum;locatie;eenheid;parameterid;afronding;analyse;compartiment;veldapparaat;grootheid;confertaxon;biotaxonnaam;parameter;eenheidequivalent;eenheidreferentie;parameterfractie;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;waardebewerkingsmethode;analyseprotocol;bemonsteringsprotocol;analist;monsterident;bemonsteringssoort;planvanaanpak;externereferentie;xcoormonster;ycoormonster;monsternemer;bron;kwaliteitsoordeel;opmerkingmeting;meetwaarde;limietsymbool
2020-01-23 11:55:00;PMW024;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;6;
2020-01-23 11:55:00;PMW024;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;6.29;
2020-01-23 11:55:00;PMW024;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;5.4;
2020-01-23 11:55:00;PMW024;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;5.4;
2020-01-23 11:55:00;PMW024;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;1;>
2020-01-23 11:55:00;PMW024;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;1;
2020-01-23 11:55:00;PMW024;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.7;
2020-01-23 11:55:00;PMW024;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.7;
2020-01-23 11:55:00;PMW024;ug/l;FEOa_ug/l;Ja;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;5;
2020-01-23 11:55:00;PMW024;ug/l;FEOa_ug/l;Nee;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;5.24;
2020-01-23 11:55:00;PMW024;ug/l;CHLFa_ug/l_spectro;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;23;
2020-01-23 11:55:00;PMW024;ug/l;CHLFa_ug/l_spectro;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP577034;SB;;577034;135010;462569;WP;FC20200716101611_577034.txt;0;;22.82;
2020-01-23 12:15:00;PMW077;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;3;
2020-01-23 12:15:00;PMW077;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;2.99;
2020-01-23 12:15:00;PMW077;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;5.5;
2020-01-23 12:15:00;PMW077;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;5.5;
2020-01-23 12:15:00;PMW077;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;0.5;>
2020-01-23 12:15:00;PMW077;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;;0.5;>
2020-01-23 12:15:00;PMW077;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.3;
2020-01-23 12:15:00;PMW077;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577035;SB;;577035;135186;462296;WP;FC20200130210338_577035.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.3;
2020-01-23 12:20:00;PMW067;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;7;
2020-01-23 12:20:00;PMW067;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;7.49;
2020-01-23 12:20:00;PMW067;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;5.4;
2020-01-23 12:20:00;PMW067;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;5.4;
2020-01-23 12:20:00;PMW067;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;1;
2020-01-23 12:20:00;PMW067;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;1;
