GMT+1,PMW024,PMW024,PMW339,PMW339,PMW024,PMW024,PMW339,PMW339,PMW024,PMW024,PMW024,PMW024,PMW339,PMW339,PMW339,PMW339,PMW024,PMW024,PMW339,PMW339,PMW024,PMW024,PMW339,PMW339,PMW024,PMW024,PMW339,PMW339,PMW024,PMW024,PMW339,PMW339,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW353,PMW353,PMW525,PMW525,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW353,PMW353,PMW525,PMW525,PMW349,PMW349,PMW353,PMW353,PMW525,PMW525,PMW024,PMW024,PMW339,PMW339,PMW353,PMW353,PMW353,PMW353,PMW525,PMW525,PMW525,PMW525,PMW353,PMW353,PMW353,PMW353,PMW525,PMW525,PMW525,PMW525,PMW353,PMW353,PMW525,PMW525,PMW345,PMW345,PMW349,PMW349,PMW345,PMW345,PMW345,PMW345,PMW345,PMW345,PMW345,PMW345,PMW345,PMW345,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW054,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW067,PMW067,PMW077,PMW077,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW067,PMW067,PMW077,PMW077,PMW401,PMW401,PMW566,PMW566,PMW401,PMW401,PMW566,PMW566,PMW401,PMW401,PMW401,PMW401,PMW566,PMW566,PMW566,PMW566,PMW570,PMW570,PMW572,PMW572,PMW573,PMW573,PMW401,PMW401,PMW566,PMW566,PMW401,PMW401,PMW566,PMW566,PMW401,PMW401,PMW566,PMW566,PMW570,PMW570,PMW572,PMW572,PMW573,PMW573,PMW401,PMW401,PMW566,PMW566,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW401,PMW401,PMW566,PMW566,PMW567,PMW567,PMW567,PMW567,PMW568,PMW568,PMW568,PMW568,PMW567,PMW567,PMW567,PMW567,PMW568,PMW568,PMW568,PMW568,PMW567,PMW567,PMW568,PMW568,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585,PMW585
,T_oC,T_oC,T_oC,T_oC,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,pH,pH,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,O2_%,O2_%,O2_%,O2_%,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,T_oC,T_oC,T_oC,T_oC,T_oC,T_oC,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,pH,pH,pH,pH,pH,pH,O2_%,O2_%,O2_%,O2_%,O2_%,O2_%,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,O2_%,O2_%,O2_%,O2_%,O2_%,O2_%,pH,pH,pH,pH,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,T_oC,T_oC,T_oC,T_oC,T_oC,T_oC,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,Ntot_mgN/l,Ntot_mgN/l,T_oC,T_oC,Ptot_mgP/l,Ptot_mgP/l,pH,pH,O2_%,O2_%,T_oC,T_oC,ZICHT_m,ZICHT_m,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ptot_mgP/l,Ptot_mgP/l,O2_%,O2_%,Cl_mg/l,Cl_mg/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,T_oC,T_oC,T_oC,T_oC,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,pH,pH,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,O2_%,O2_%,O2_%,O2_%,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,T_oC,T_oC,T_oC,T_oC,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,pH,pH,pH,pH,pH,pH,pH,pH,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,O2_%,O2_%,O2_%,O2_%,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,T_oC,T_oC,T_oC,T_oC,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,pH,pH,pH,pH,O2_%,O2_%,O2_%,O2_%,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,O2_%,O2_%,O2_%,O2_%,pH,pH,pH,pH,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,Ntot_mgN/l,T_oC,T_oC,T_oC,T_oC,ZICHT_m,ZICHT_m,ZICHT_m,ZICHT_m,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Ptot_mgP/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,Cl_mg/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,CHLFa_ug/l,ZICHT_m,ZICHT_m,Ntot_mgN/l,Ntot_mgN/l,Ptot_mgP/l,Ptot_mgP/l,T_oC,T_oC,pH,pH,O2_%,O2_%
2020-01-23 11:55:00,5.4,5.4,-999,-999,1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7,7.7,-999,-999,1.6,1.622,-999,-999,0.06,0.059,-999,-999,85.0,85.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.0,22.06,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-01-23 12:15:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.5,5.5,-999,-999,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.3,7.3,-999,-999,2.0,1.952,-999,-999,0.03,0.03,-999,-999,72.4,72.4,-999,-999,16.0,15.669,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-01-23 12:20:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5.4,5.4,-999,-999,1.0,1.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,7.4,-999,-999,1.7,1.729,-999,-999,0.08,0.079,-999,-999,88.4,88.4,-999,-999,20.0,20.458,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-02-24 11:40:00,6.8,6.8,-999,-999,0.7,0.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.8,7.8,-999,-999,1.5,1.546,-999,-999,0.05,0.051,-999,-999,88.0,88.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0,18.149,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-02-24 12:00:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6.9,6.9,-999,-999,0.6,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,7.4,-999,-999,1.7,1.714,-999,-999,0.03,0.032,-999,-999,75.0,75.0,-999,-999,15.0,14.908,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-02-24 12:10:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.0,7.0,-999,-999,0.8,0.8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,7.4,-999,-999,1.7,1.735,-999,-999,0.06,0.064,-999,-999,87.0,87.0,-999,-999,22.0,21.938,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-03-10 10:42:00,8.5,8.5,-999,-999,0.6,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.9,7.9,-999,-999,1.5,1.459,-999,-999,0.07,0.068,-999,-999,98.0,98.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.0,19.574,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-03-10 11:07:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.3,8.3,-999,-999,0.5,0.5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.7,7.7,-999,-999,1.4,1.391,-999,-999,0.03,0.034,-999,-999,81.0,81.0,-999,-999,12.0,12.128,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2020-03-10 11:12:00,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8.6,8.6,-999,-999,0.6,0.6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7.4,7.4,-999,-999,1.4,1.361,-999,-999,0.08,0.078,-999,-999,96.0,96.0,-999,-999,17.0,17.395,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
